ruben neves,peixe,2001,rosa,Corrida,Calmo,Homem,Raça Indefinida
joao,peru,2012,verde,Corrida,Calmo,Homem,Raça Indefinida
joao carlos,peru,2021,preto,Corrida,Calmo,Homem,Raça Indefinida
Carlos,Peru,2007,rosa,Corrida,Calmo,Homem,Raça Indefinida
pedro,alface,2017,preto,Corrida,Calmo,Homem,Raça Indefinida
pedro,alface,2017,preto,Corrida,Calmo,Homem,Raça Indefinida
pedro,alface,2017,preto,Corrida,Calmo,Homem,Raça Indefinida
pedro,alface,2017,preto,Corrida,Calmo,Homem,Raça Indefinida
pedro,alface,2017,preto,Corrida,Calmo,Homem,Raça Indefinida
pedro,alface,2017,preto,Corrida,Calmo,Homem,Raça Indefinida
pedro,alface,2017,preto,Corrida,Calmo,Homem,Raça Indefinida
pedro,cru,2027,rosa,Corrida,Calmo,Homem,Raça Indefinida
LEticia,Frango,1990,roxo,Corrida,Calmo,Homem,Raça Indefinida
donato,peru,2000,roxo,Corrida,Calmo,Homem,❓ Raça Indefinida
Lucas porto,Chocolate,1990,preto,Vídeo Game,Calmo,Homem,❓ Raça Indefinida
Lucas porto,Chocolate,1990,preto,Vídeo Game,Calmo,Homem,❓ Raça Indefinida
lucas miojo,charuto,1995,preta,Corrida,Calmo,Homem,🌿 TAUREN
doutor mandraque,charutagem,1999,preto,Corrida,Calmo,Homem,🛑 TROLL
Millenna leticia,sorvete,1998,Laranja,Musculação,Observador,Mulher,🌿 TAURENVudu é pra jacú
Millenna leticia,sorvete,1998,Laranja,Musculação,Observador,Mulher,🧑‍🎤 HUMANO Que o sol eterno brilhe sobre ti
melky lopes,macarrao,2012,roxo,Vídeo Game,Elétrico,Homem,⛏️ ANÃO tempo é dinheiro
melky lopes,macarrao,2012,roxo,Vídeo Game,Elétrico,Homem,🌿 TAUREN - Vudu é pra jacú
marcos,peixe,1870,preto,Corrida,Calmo,Gay,⛏️ ANÃO - tempo é dinheiro
marcos,peixe,1870,preto,Corrida,Calmo,Gay,🌿 TAUREN - Vudu é pra jacú
Lucas porto,peru,1998,preta,Corrida,Calmo,Homem,⚔️ ORC  Saudações
mmmmm,dddd,1250,cinza,Corrida,Calmo,Homem,🏹 ELFO - Anu belore delana
rodolfo,assado,1699,verde,Corrida,Calmo,Homem,🧑‍🎤 HUMANO 
,,2012,,Corrida,Calmo,Homem,🧑‍🎤 HUMANO
Dandara,,2020,blue,Corrida,Calmo,Homem,⛏️ ANÃO- Tempo é dinheiro
